title,author,pages,SalesRank,ASIN,tags,year
I'll Be Seeing You,Suzanne Hayes and Loretta Nyhan,336,2937502,0778314952,love & romance;realistic fiction;for history lovers;family matters;book club ideas;historical fiction,2013
Incarnadine,Mary Szybist,72,930557,1555976352,"short stories, essays & poetry;seriously great writing",2013
"Indian Cooking Unfolded: A Master Class In Indian Cooking, With 100 Easy Recipes Using 10 Ingredients Or Less",Raghavan Iyer,340,748129,0761165215,cookbooks & food,2013
Johnny Cash: The Life,Robert Hilburn,688,291202,0316194751,biography & memoir;for history lovers;rather long;for art lovers;for music lovers;nonfiction;no biz like show biz,2013
Journey,Aaron Becker,40,9059,0763660531,kids’ books;for art lovers,2013
Julio's Day,Gilbert Hernandez,104,1129875,1606996061,comics & graphic novels;for history lovers;rather short;seriously great writing;family matters,2013
Kansas City Lightning: The Rise And Times Of Charlie Parker,Stanley Crouch,384,251770,0062005596,biography & memoir;for history lovers;for music lovers;nonfiction,2013
Keepers: Two Home Cooks Share Their Tried-And-True Weeknight Recipes And The Secrets To Happiness In The Kitchen,"Kathy Brennan, Caroline Campion",256,373840,1609613546,cookbooks & food,2013
"Lawrence In Arabia: War, Deceit, Imperial Folly And The Making Of The Modern Middle East",Scott Anderson,592,151497,038553292X,staff picks;nonfiction;for history lovers;rather long;tales from around the world,2013
"League Of Denial: The NFL, Concussions And The Battle For Truth",Mark Fainaru-Wada and Steve Fainaru,416,212646,0770437540,science!;staff picks;eye-opening reads;for sports lovers;nonfiction,2013
Levels Of Life,Julian Barnes,144,1884069,0385350775,biography & memoir;love & romance;rather short;tales from around the world;seriously great writing;the dark side;book club ideas,2013
Lexicon: A Novel,Max Barry,400,221387,1594205388,"sci fi, fantasy & speculative fiction;it’s all geek to me;rather long;the dark side;funny stuff",2013
Life After Life,Kate Atkinson,544,346057,0316176486,"staff picks;historical fiction;sci fi, fantasy & speculative fiction;for history lovers;tales from around the world;the dark side;rather long;book club ideas;seriously great writing",2013
Little Elvises: A Junior Bender Mystery,Timothy Hallinan,347,1385940,1616952792,mysteries & thrillers;funny stuff,2013
"Love Is Power, Or Something Like That: Stories",A. Igoni Barrett,176,5121110,1555976409,"staff picks;tales from around the world;short stories, essays & poetry;love & romance;rather short;seriously great writing",2013
Love Minus Eighty,Will McIntosh,433,2844242,0316217786,"sci fi, fantasy & speculative fiction;love & romance;the dark side;rather long;it’s all geek to me",2013
"Love, Dishonor, Marry, Die, Cherish, Perish: A Novel",David Rakoff,128,788551,038553521X,"realistic fiction;short stories, essays & poetry;love & romance;seriously great writing;rather short;book club ideas;historical fiction",2013
MaddAddam: A Novel,Margaret Atwood,416,1449473,0385528787,"sci fi, fantasy & speculative fiction;the dark side;it’s all geek to me;love & romance",2013
Mary Coin,Marisa Silver,336,2308034,0399160701,realistic fiction;for history lovers;family matters;historical fiction;the states we’re in,2013
"Masterminds And 
Wingmen: Helping Our Boys Cope With Schoolyard Power, Locker-Room Tests,
 Girlfriends And The New Rules Of Boy World",Rosalind Wiseman,384,1322435,0307986659,staff picks;eye-opening reads;book club ideas;family matters;identity & culture;nonfiction,2013
Men We Reaped: A Memoir,Jesmyn Ward,272,761634,160819521X,staff picks;biography & memoir;nonfiction;the dark side;eye-opening reads;family matters;seriously great writing;book club ideas;identity & culture,2013
Metaphysical Dog,Frank Bidart,113,1380937,0374173613,love & romance;for history lovers;seriously great writing,2013
Miss Anne In Harlem: The White Women Of The Black Renaissance,Carla Kaplan,544,3270835,0060882387,biography & memoir;for history lovers;eye-opening reads;nonfiction;book club ideas;rather long;for music lovers;identity & culture,2013
Mo's Mustache,Ben Clanton,32,495501,177049538X,kids’ books;funny stuff,2013
Mr. Wuffles!,David Wiesner,32,61675,0618756612,kids’ books;funny stuff;staff picks,2013
Mrs. Poe,Lynn Cullen,336,1586858,1476702918,realistic fiction;for history lovers;love & romance;the dark side;book club ideas;historical fiction,2013
My Education,Susan Choi,304,1164209,0670024902,realistic fiction;love & romance;let’s talk about sex;seriously great writing;book club ideas,2013
Neptune's Brood: A Space Opera,Charles Stross,336,1887687,0425256774,"sci fi, fantasy & speculative fiction;it’s all geek to me;funny stuff",2013
New And Selected Poems: 1962-2012,Charles Simic,384,2481593,0547928289,"short stories, essays & poetry;seriously great writing",2013
New School,Dash Shaw,340,1652177,1606996444,comics & graphic novels;family matters;for art lovers;the dark side;seriously great writing,2013
Nexus,Ramez Naam,464,1562343,0857662937,"sci fi, fantasy & speculative fiction;mysteries & thrillers;it’s all geek to me;rather long",2013
Night Film: A Novel,Marisha Pessl,624,181393,140006788X,mysteries & thrillers;rather long;the dark side;book club ideas,2013
Odds Against Tomorrow,Nathaniel Rich,320,2766812,0374224242,"realistic fiction;mysteries & thrillers;the dark side;love & romance;book club ideas;sci fi, fantasy & speculative fiction",2013
On A Beam Of Light: A Story Of Albert Einstein,"Jennifer Berne, Vladimir Radunsky",56,211222,0811872351,biography & memoir;kids’ books;it’s all geek to me;for history lovers;science!,2013
One Came Home,Amy Timberlake,272,510837,0375869255,kids’ books;for history lovers;family matters,2013
One Good Dish,David Tanis,256,173861,1579654673,cookbooks & food,2013
One Good Earl Deserves A Lover,Sarah MacLean,384,853700,0062068539,love & romance;let’s talk about sex;for history lovers;science!,2013
Ottolenghi: The Cookbook,"Yotam Ottolenghi, Sami Tamimi",304,38478,160774418X,cookbooks & food;tales from around the world,2013
Paper Valentine,Brenna Yovanoff,320,307750,1595145990,young adult;love & romance;mysteries & thrillers,2013
Queen Anne: The Politics Of Passion,Anne Somerset,640,651526,0307962881,biography & memoir;for history lovers;eye-opening reads;rather long;nonfiction,2013
Red Moon,Benjamin Percy,544,782657,1455501662,"mysteries & thrillers;sci fi, fantasy & speculative fiction;rather long;the dark side;it’s all geek to me",2013
Relish: My Life In The Kitchen,Lucy Knisley,176,164626,1596436239,comics & graphic novels;cookbooks & food;biography & memoir;rather short;funny stuff;nonfiction,2013
Return To Oakpine: A Novel,Ron Carlson,272,2681867,0670025070,realistic fiction;family matters;for music lovers,2013
Revenge: Eleven Dark Tales,Yoko Ogawa,176,201162,0312674465,"short stories, essays & poetry;the dark side;rather short;realistic fiction;tales from around the world;sci fi, fantasy & speculative fiction",2013
River Inside The River: Three Lyric Sequences,Gregory Orr,160,5679003,0393239748,"short stories, essays & poetry;seriously great writing;the dark side;family matters",2013
Rose Under Fire,Elizabeth Wein,352,455388,1423183096,young adult;for history lovers;tales from around the world;historical fiction,2013
Scarlet,Marissa Meyer,464,226332,0312642962,"young adult;sci fi, fantasy & speculative fiction;it’s all geek to me;mysteries & thrillers;rather long",2013
Seasonal Works With Letters On Fire,Brenda Hillman,128,4017071,0819574147,"short stories, essays & poetry;eye-opening reads;seriously great writing",2013
Shaman,Kim Stanley Robinson,464,618049,0316098078,"sci fi, fantasy & speculative fiction;for history lovers;rather long;family matters;it’s all geek to me",2013
"Shocked: My Mother, Schiaparelli, And Me",Patricia Volk,304,526767,0307962105,biography & memoir;family matters;book club ideas;nonfiction,2013
Singing School: Learning To Write (And Read) Poetry By Studying with the Masters,Robert Pinsky,240,2254552,0393050688,"short stories, essays & poetry;for art lovers;for history lovers",2013
Snapper,Brian Kimberling,224,5247984,0307908054,"realistic fiction;love & romance;funny stuff;seriously great writing;book club ideas;short stories, essays & poetry",2013
Someone,Alice McDermott,240,1100807,0374281092,realistic fiction;for history lovers;seriously great writing;family matters;book club ideas;historical fiction,2013
Speaking From Among The Bones: A Flavia De Luce Novel,Alan Bradley,400,352760,0385344031,staff picks;mysteries & thrillers;science!,2013
Stay Up With Me,Tom Barbash,224,4543187,0062258125,"short stories, essays & poetry;the dark side;realistic fiction;seriously great writing;book club ideas;family matters;let’s talk about sex",2013
Submergence: A Novel,J.M. Ledgard,208,2148626,1566893194,realistic fiction;mysteries & thrillers;the dark side;love & romance;tales from around the world,2013
"Suitable Accommodations: An Autobiographical Story Of Family Life: The Letters Of J.F. Powers, 1942-1963",Katherine A. Powers (editor),480,613826,0374268061,biography & memoir;for history lovers;rather long;family matters;nonfiction,2013
Super Graphic: A Visual Guide To The Comic Book Universe,Tim Leong,196,626881,1452113882,"comics & graphic novels;it’s all geek to me;sci fi, fantasy & speculative fiction;rather short;funny stuff;eye-opening reads;for art lovers",2013
Sweet Delights From A Thousand And One Nights: The Story Of Traditional Arab Sweets,"Habeeb Salloum, Muna Salloum, Leila Salloum Elias",272,2638053,1780764642,cookbooks & food;for history lovers;staff picks;tales from around the world,2013
Take Me Out To The Yakyu,Aaron Meshon,40,1092240,1442441771,kids’ books;identity & culture;for sports lovers;the states we’re in;family matters,2013
Tap The Magic Tree,Christie Matheson,40,39467,0062274457,kids’ books,2013
Tenth Of December: Stories,George Saunders,272,316770,0812993802,"short stories, essays & poetry;the dark side;seriously great writing;funny stuff;seriously great writing;book club ideas",2013
Thank You for Your Service,David Finkel,272,1306229,0374180660,staff picks;nonfiction;eye-opening reads;the dark side;book club ideas;family matters;the states we’re in,2013
The Alchemists: Three Central Bankers And A World On Fire,Neil Irwin,448,655128,1594204624,staff picks;nonfiction;for history lovers;tales from around the world;eye-opening reads,2013
"The Animal Book: A Collection Of The Fastest, Fiercest, Toughest, Cleverest, Shyest -- And Most Surprising -- Animals On Earth",Steve Jenkins,208,588960,054755799X,kids’ books;for art lovers,2013
The Apple Orchard,Susan Wiggs,432,779526,0778314936,love & romance;family matters;for history lovers;mysteries & thrillers,2013
The Apprentices,"Maile Meloy, Ian Schoenherr",416,2707937,0399162453,"kids’ books;sci fi, fantasy & speculative fiction;staff picks;science!",2013
"The Art Of Youth: Crane, Carrington, Gershwin, And The Nature Of First Acts",Nicholas Delbanco,205,9718660,0544114469,biography & memoir;for history lovers;the dark side;staff picks;for art lovers;nonfiction;for music lovers,2013
The Autumn Bride,Anne Gracie,320,335200,0425259250,love & romance;family matters;for history lovers,2013
The Beast: Riding The Rails And Dodging Narcos On The Migrant Trail,Oscar Martinez,224,2582515,1781681325,nonfiction;tales from around the world;eye-opening reads;the dark side;the states we’re in,2013
The Best Man,Kristan Higgins,432,870086,0373777922,love & romance;funny stuff;family matters,2013
The Big Smoke,Adrian Matejka,128,1016481,0143123726,"short stories, essays & poetry;for history lovers;biography & memoir;staff picks;love & romance;the dark side;for sports lovers",2013
The Blood Of Heaven,Kent Wascom,432,3571198,0802121187,realistic fiction;for history lovers;the dark side;seriously great writing;historical fiction;the states we’re in,2013
The Book Of Goodbyes,Jillian Weise,88,1818629,1938160142,"short stories, essays & poetry;let’s talk about sex;seriously great writing",2013
The Boy On The Porch,Sharon Creech,160,2999303,0061892351,kids’ books;family matters;for art lovers;for music lovers,2013
The Burgess Boys: A Novel,Elizabeth Strout,326,186910,1400067685,staff picks;realistic fiction;family matters;book club ideas,2013
The Circle,Dave Eggers,504,134911,0385351399,staff picks;mysteries & thrillers;it’s all geek to me;the dark side;rather long;book club ideas,2013
The Coldest Girl In Coldtown,Holly Black,,,1780621299,"young adult;sci fi, fantasy & speculative fiction;the dark side",2013
The Cooked Seed: A Memoir,Anchee Min,368,2552472,1596916982,biography & memoir;family matters;love & romance;staff picks;nonfiction;identity & culture,2013
The Cuckoo's Calling,Robert Galbraith,464,39583,0316206849,realistic fiction;mysteries & thrillers;rather long;the dark side;book club ideas,2013
The Daylight Gate,Jeanette Winterson,240,4811336,0802121632,"sci fi, fantasy & speculative fiction;for history lovers;the dark side;historical fiction",2013
The Encyclopedia Of Early Earth: A Graphic Novel,Isabel Greenberg,176,1409963,0316225819,"young adult;tales from around the world;sci fi, fantasy & speculative fiction;staff picks;it’s all geek to me;love & romance",2013
The Goldfinch,Donna Tartt,775,27580,0316055433,realistic fiction;rather long;for art lovers;book club ideas;staff picks;seriously great writing,2013
The Good Lord Bird,James McBride,432,295157,1594486344,realistic fiction;for history lovers;book club ideas;historical fiction;staff picks;seriously great writing;identity & culture,2013
The Hired Man,Aminatta Forna,304,1438349,0802121918,realistic fiction;for history lovers;tales from around the world;family matters;book club ideas;historical fiction,2013
The House Girl: A Novel,Tara Conklin,374,1498997,0062207393,realistic fiction;for history lovers;mysteries & thrillers;for art lovers;book club ideas;historical fiction,2013
The Infatuations,"Javier Marias, translated by Margaret Jull Costa",352,1333310,0307960722,realistic fiction;tales from around the world;seriously great writing;mysteries & thrillers;love & romance,2013
The Interestings,Meg Wolitzer,480,335700,1594488398,realistic fiction;rather long;family matters;book club ideas;staff picks,2013
The Isle Of Youth: Stories,Laura van den Berg,256,2277847,0374177236,"short stories, essays & poetry;the dark side;family matters;seriously great writing;book club ideas",2013
The Last Banquet,Jonathan Grimwood,320,7169828,1609451384,realistic fiction;for history lovers;tales from around the world;cookbooks & food;let’s talk about sex;historical fiction,2013
The Love Affairs Of Nathaniel P.: A Novel,Adelle Waldman,256,828545,0805097457,realistic fiction;let’s talk about sex;funny stuff;love & romance;book club ideas,2013
The Lowland,Jhumpa Lahiri,339,965423,0307265749,realistic fiction;seriously great writing;tales from around the world;family matters;book club ideas;identity & culture,2013
The Luckiest Lady In London,Sherry Thomas,304,1448255,0425268888,love & romance;for history lovers;let’s talk about sex,2013
The Madness Underneath,Maureen Johnson,384,1093867,039925661X,"young adult;sci fi, fantasy & speculative fiction;the dark side",2013
The Maid's Version: A Novel,Daniel Woodrell,176,2827518,0316205850,staff picks;realistic fiction;for history lovers;seriously great writing;the dark side;rather short;family matters;book club ideas;historical fiction;rather short,2013
The Most Of Nora Ephron,Nora Ephron,576,147073,038535083X,for history lovers;rather long;funny stuff;biography & memoir;seriously great writing,2013
The New Midwestern Table: 200 Heartland Recipes,Amy Thielen,400,171684,0307954870,cookbooks & food;the states we’re in,2013
The New Persian Kitchen,Louisa Shafia,208,1142669,1607743574,cookbooks & food,2013
The Ocean At The End Of The Lane,Neil Gaiman,181,69389,0062255657,"sci fi, fantasy & speculative fiction;rather short;the dark side;staff picks;family matters",2013
The Painted Girls,Cathy Marie Buchanan,368,936010,1594486247,realistic fiction;for history lovers;for art lovers;family matters;tales from around the world;book club ideas;historical fiction,2013
The Panopticon: A Novel,Jenni Fagan,304,368947,0385347863,realistic fiction;mysteries & thrillers;tales from around the world;the dark side;staff picks,2013
The Pomegranate Lady And Her Sons: Selected Stories,Goli Taraghi,336,4260136,039306333X,"realistic fiction;short stories, essays & poetry;staff picks;tales from around the world",2013
The Reason I Jump: The Inner Voice Of A Thirteen-Year-Old Boy With Autism,"Naoki Higashida, translated by David Mitchell and KA Yoshida",176,62555,0812994868,staff picks;biography & memoir;rather short;eye-opening reads;identity & culture,2013
The Screaming Staircase,Jonathan Stroud,400,994121,1423164911,"staff picks;kids’ books;sci fi, fantasy & speculative fiction;mysteries & thrillers",2013
The Shining Girls,Lauren Beukes,384,1349759,0316216852,"mysteries & thrillers;sci fi, fantasy & speculative fiction;the dark side",2013
The Sound Of Things Falling,"Juan Gabriel Vasquez, translated by Anne McLean",288,1489178,1594487480,realistic fiction;tales from around the world;seriously great writing,2013
The Summer Prince,Alaya Dawn Johnson,304,4241834,0545417791,"young adult;tales from around the world;sci fi, fantasy & speculative fiction;staff picks;it’s all geek to me;love & romance",2013
"The Telling Room: A Tale Of Love, Betrayal, Revenge, And The World's Greatest Piece Of Cheese",Michael Paterniti,368,1071288,0385337000,tales from around the world;cookbooks & food;seriously great writing;staff picks;book club ideas;biography & memoir;nonfiction,2013
The Twelve Tribes Of Hattie,Ayana Mathis,320,301639,0307949702,realistic fiction;for history lovers;eye-opening reads;book club ideas;seriously great writing;historical fiction;family matters;the states we’re in,2013
The Unwinding: An Inner History Of The New America,George Packer,448,951311,0374102414,staff picks;nonfiction;the states we’re in,2013
The Woman Who Lost Her Soul,Bob Shacochis,640,3081824,0802119824,realistic fiction;mysteries & thrillers;for history lovers;rather long;tales from around the world;the dark side;seriously great writing;let’s talk about sex,2013
The World Is Waiting For You,Barbara Kerley,48,2151056,1426311141,kids’ books;tales from around the world,2013
"The World’s Strongest Librarian: A Memoir Of Tourette’s, Faith, Strength And The Power Of Family",Josh Hanagarne,304,1160428,1592407870,biography & memoir;family matters;nonfiction;identity & culture,2013
The Year Of Billy Miller,Kevin Henkes,240,618959,0062268120,kids’ books;family matters,2013
Thieves I've Known,Tom Kealey,208,5494817,0820345377,"short stories, essays & poetry;realistic fiction;eye-opening reads;seriously great writing;family matters",2013
This Close: Stories,Jessica Francis Kane,200,3004348,1555976360,"short stories, essays & poetry;realistic fiction;family matters;rather short;seriously great writing",2013
This House Is Haunted,John Boyne,304,200067,1590516796,"for history lovers;sci fi, fantasy & speculative fiction;the dark side;tales from around the world;historical fiction",2013
This Little Piggy,Tim Harrington,32,944670,0062218085,kids’ books;funny stuff,2013
To The End Of June,Cris Beam,336,2002079,0151014124,staff picks;the dark side;eye-opening reads;nonfiction;family matters;book club ideas;identity & culture,2013
Toms River: A Story Of Science And Salvation,Dan Fagin,560,375012,055380653X,staff picks;science!;eye-opening reads;for history lovers;the dark side;rather long;nonfiction,2013
Too Bright To Hear Too Loud To See,Juliann Garey,304,2496364,1616953446,realistic fiction;eye-opening reads;identity & culture,2013
Transfer Of Qualities,Martha Ronk,88,6853439,189065082X,"short stories, essays & poetry;seriously great writing",2013
Unicorn Thinks He's Pretty Great,Bob Shea,40,234366,1423159527,staff picks;kids’ books;funny stuff,2013
Unknown Pleasures: Inside Joy Division,Peter Hook,416,2008906,0062222562,for history lovers;staff picks;for music lovers;biography & memoir;nonfiction,2013
Vampires In The Lemon Grove: Stories,Karen Russell,256,1142469,0307957233,"short stories, essays & poetry;sci fi, fantasy & speculative fiction;funny stuff;seriously great writing",2013
We Are All Completely Beside Ourselves,Karen Joy Fowler,320,784219,0399162097,realistic fiction;family matters;book club ideas;science!,2013
We Need New Names: A Novel,NoViolet Bulawayo,304,1540870,0316230812,realistic fiction;tales from around the world;seriously great writing,2013
Who Says Women Can't Be Doctors?: The Story Of Elizabeth Blackwell,"Tanya Lee Stone, Marjorie Priceman",40,840333,0805090487,kids’ books;for history lovers;biography & memoir;science!;nonfiction,2013
Wilson,A. Scott Berg,832,928630,0399159215,biography & memoir;for history lovers;rather long;nonfiction;the states we’re in,2013
